"","Sound filename","","","","","005-lstm-32.wav","005-side-chain-c32-f4.wav","005-single-chain-c32-f4.wav","005-TCN-300-C.wav","008-lstm-32.wav","008-side-chain-c32-f4.wav","008-single-chain-c32-f4.wav","008-TCN-300-C.wav","020-lstm-32.wav","020-side-chain-c32-f4.wav","020-single-chain-c32-f4.wav","020-TCN-300-C.wav","027-lstm-32.wav","027-side-chain-c32-f4.wav","027-single-chain-c32-f4.wav","027-TCN-300-C.wav","094-lstm-32.wav","094-side-chain-c32-f4.wav","094-single-chain-c32-f4.wav","094-TCN-300-C.wav","100-lstm-32.wav","100-side-chain-c32-f4.wav","100-single-chain-c32-f4.wav","100-TCN-300-C.wav","103-lstm-32.wav","103-side-chain-c32-f4.wav","103-single-chain-c32-f4.wav","103-TCN-300-C.wav","110-lstm-32.wav","110-side-chain-c32-f4.wav","110-single-chain-c32-f4.wav","110-TCN-300-C.wav","188-lstm-32.wav","188-side-chain-c32-f4.wav","188-single-chain-c32-f4.wav","188-TCN-300-C.wav","195-lstm-32.wav","195-side-chain-c32-f4.wav","195-single-chain-c32-f4.wav","195-TCN-300-C.wav","197-lstm-32.wav","197-side-chain-c32-f4.wav","197-single-chain-c32-f4.wav","197-TCN-300-C.wav"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-06 01:50:43","No","Audio engineer","audio technica ATH-M20X","","88","93","83","68","53","70","76","91","74","63","70","90","68","84","71","94","86","74","92","94","93","89","88","93","95","59","67","80","76","68","75","67","83","96","92","91","70","90","70","62","86","68","58","76"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 19:04:08","No","Others","Realtek（R)  Audio","","90","85","85","85","85","70","90","85","87","84","88","70","85","88","80","85","86","80","85","88","85","85","85","85","80","85","85","85","90","90","90","84","85","85","85","85","90","87","80","85","82","87","85","80"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 18:46:39","No","Audio researcher","beyerdynamic DT 880","","100","100","100","60","69","90","90","90","100","100","100","100","65","90","90","60","90","90","95","85","100","100","100","100","60","95","95","60","65","81","60","60","80","60","65","90","60","65","90","65","65","60","64","65"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 17:59:01","No","Others","EDIFIER TWS1 Pro","","69","94","30","10","46","91","94","92","90","31","92","94","76","94","95","91","92","89","37","91","97","70","69","40","89","82","62","29","32","81","94","43","77","89","73","29","29","65","91","93","93","47","28","93"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 17:11:31","No","Audio engineer","huawei free5i","","68","22","20","96","21","11","90","92","15","74","80","15","95","24","22","75","28","65","23","79","85","18","86","16","79","11","19","73","21","24","71","84","24","17","82","88","74","27","74","19","16","20","64","73"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 16:54:34","No","Audio engineer","mobile phone","","45","38","40","71","43","42","65","36","46","58","68","53","70","71","51","56","41","40","59","48","64","53","58","68","71","78","64","73","73","63","43","45","48","60","71","79","64","61","38","43","43","34","65","56"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 16:54:17","No","Audio researcher","Soundcore Space Q45 Headphones + onboard audio driver of Asus ROG Strix G15 (2021 edition)","","81","77","80","79","74","94","96","85","76","88","91","66","82","92","83","92","77","68","96","72","84","87","60","74","75","92","71","85","83","90","93","84","85","95","96","88","78","67","87","86","91","93","74","97"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 16:18:38","No","Audio researcher","Sennheiser HD599","","84","86","84","70","86","88","87","86","90","88","87","76","91","92","92","92","93","84","76","85","76","77","87","77","67","67","91","91","73","91","84","75","73","83","74","70","79","78","89","92","66","68","65","63"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-05 00:39:43","No","Musician","audio-technica wired headset on a macbook pro","","91","60","42","47","82","61","50","50","80","81","80","87","70","80","100","80","52","55","61","75","65","65","61","65","52","50","57","50","69","90","64","70","55","80","40","56","65","78","88","69","93","86","79","94"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-04 08:30:02","No","Others","漫步者n2","","51","71","13","29","30","47","58","73","72","40","68","56","54","27","73","10","11","66","58","41","50","40","72","75","94","6","31","56","30","49","76","14","6","49","28","71","66","27","74","39","11","48","31","70"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-04 07:26:58","No","Audio researcher","Bose NC700 via bluetooth (AAC Codec), and flat EQ. ","","90","90","90","90","50","80","100","60","60","80","61","79","75","81","100","100","80","60","80","40","100","81","81","100","60","90","81","70","30","100","40","60","80","80","100","100","61","80","80","70","100","58","70","90"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-04 05:02:52","No","Musician","yes","","66","57","55","58","38","41","50","44","45","70","55","80","83","70","41","43","56","73","69","54","75","80","61","64","73","81","63","46","100","60","100","80","40","62","100","79","50","61","52","69","42","100","60","78"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-04 02:41:13","No","Others","normal","","90","80","90","90","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","95","100","100","100","100","100","100","100"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-04 02:21:38","No","Others","MICROKIA华为蓝牙耳机","","71","81","36","48","23","100","59","37","96","37","67","62","45","41","79","43","91","58","61","60","54","51","50","79","53","26","90","40","100","38","41","38","43","78","60","65","74","34","38","37","60","59","91","56"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-03 21:13:10","No","Musician","YAMAHA UR242 + ATH M50X","","90","75","90","45","85","80","80","60","80","73","70","70","96","80","90","95","90","50","90","90","75","95","96","96","50","35","75","85","62","61","57","61","75","40","90","85","70","80","80","85","95","70","50","95"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-03 14:00:09","No","Musician","M-Audio BX5 Speaker","","86","73","68","100","88","71","66","90","83","76","83","75","94","68","69","91","67","65","70","72","81","95","91","90","66","96","53","77","87","62","63","90","66","53","58","91","84","73","91","97","91","78","35","92"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-03 12:53:00","No","Others","vivo TWS3","","77","74","76","83","79","67","67","70","82","68","76","77","74","80","74","78","73","76","73","84","72","80","75","78","84","86","81","79","65","62","70","70","73","79","84","70","82","74","81","74","83","80","76","75"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-03 06:41:07","No","Audio researcher","Bose QuietComfort Earbuds II","","97","97","97","98","93","99","79","93","97","97","95","95","99","99","99","99","91","95","94","93","99","98","99","99","93","97","89","100","100","96","96","96","100","98","96","98","97","96","100","97","99","99","100","97"
"Dynamic Range Compressor Modeling - Listening Evaluation","2023-09-03 03:34:07","No","Audio engineer","Realtek High Definition Audio","","47","74","60","73","76","28","14","80","15","90","84","19","14","73","39","60","31","87","90","17","53","60","59","29","52","53","31","21","50","62","57","46","38","59","69","43","26","73","83","20","88","23","78","16"
